College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,Facilities,City,College Type,Average Fees
National Institute of Technology Rourkela ,Co-Ed,647 Acres,4811,329,2007,3.12,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Rourkela,Public/Government,350600
Birla Institute of Technology,Co-Ed,980 Acres,4506,284,1955,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Ranchi,Private,596686.0465
Shanmugha Arts Science Technology Research and Academy,Co-Ed,232 Acres,9838,750,2001,3.54,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Convenience Store, Banks Facilities",Thanjavur,Private,415918.0328
Indian Institute of Technology Hyderabad ,Co-Ed,576 Acres,,190,2008,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Hyderabad,Public/Government,288884.5946
Lovely Professional University,Co-Ed,600 Acres,47579,2200,2005,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Phagwara,Private,423667.1769
Sardar Vallabhbhai National Institute of Technology Surat ,Co-Ed,251 Acres,4785,170,1961,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Surat,Public/Government,224208.3333
National Institute of Technology Durgapur ,Co-Ed,187 Acres,3580,178,1960,,"Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Durgapur,Public/Government,296571.7949
Indian Institute of Technology Banaras Hindu University Varanasi ,Co-Ed,,5902,338,1919,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Varanasi,Public/Government,445083.0189
MIT College of Engineering,Co-Ed,,1607,152,2001,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Pune,Private,943500
Malaviya National Institute of Technology Jaipur ,Co-Ed,317 Acres,4519,194,2007,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Guest Room, Banks Facilities",Jaipur,Public/Government,357081.0811
Maulana Azad National Institute of Technology Bhopal ,Co-Ed,650 Acres,5137,179,1960,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Bhopal,Public/Government,264609.7561
Indian Institute of Technology Indian School of Mines Dhanbad ,Co-Ed,218 Acres,7545,293,1926,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Dhanbad,Public/Government,265595.7447
Harcourt Butler Technical University,Co-Ed,348 Acres,,79,1921,,"Boys Hostel, Girls Hostel, Gym, Library, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Kanpur,Public/Government,455480
Indian Institute of Technology Gandhinagar ,Co-Ed,400 Acres,1588,96,2008,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Banks Facilities",Gandhinagar,Public/Government,432550
Indian Institute of Technology Ropar ,Co-Ed,500 Acres,1468,115,2008,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Guest Room",Rupnagar,Public/Government,358525.4545
JC Bose University of Science and Technology,Co-Ed,20 Acres,3174,173,1969,3.08,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Faridabad,Public/Government,248510.4396
National Institute of Technology Raipur ,Co-Ed,100 Acres,3785,242,1956,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Raipur,Public/Government,377000
Institute of Engineering and Technology,Co-Ed,100 Acres,2545,63,1984,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Laboratories, Banks Facilities",Lucknow,Public/Government,265307.6923
Dr B R Ambedkar National Institute of Technology Jalandhar ,Co-Ed,154 Acres,3340,208,2002,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Jalandhar,Public/Government,309872.7273
