College Name,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Facilities,College Type,Average Fees
National Institute of Technology Rourkela ,647 Acres,4811,329,2007,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,350600
Visvesvaraya National Institute of Technology Nagpur ,215 Acres,1071,192,2007,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Public/Government,273596.6667
Indian Institution of Information Tecnology Delhi,145 Acres,3759,101,2018,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations",Public/Government,352320
Indian Institute of  Information Technology  Surat,251 Acres,4785,170,1961,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Public/Government,224208.3333
National Institute of Technology Durgapur ,187 Acres,3580,178,1960,"Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Public/Government,296571.7949
Indian Institute of  Information Technology Pune,17 Acres,1647,235,1983,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Banks Facilities",Private,695000
National Institute of Technology Kurukshetra ,300 Acres,4660,179,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations, Banks Facilities",Public/Government,274000
Malaviya National Institute of Technology Jaipur ,317 Acres,4519,194,2007,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Guest Room, Banks Facilities",Public/Government,357081.0811
Maulana Azad National Institute of Technology Bhopal ,650 Acres,5137,179,1960,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Public/Government,264609.7561
Indian Institute of Information Technology Allahabad ,100 Acres,1669,63,1999,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Public/Government,313000
Indian Institute of Technology Indian School of Mines Dhanbad ,218 Acres,7545,293,1926,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Public/Government,265595.7447
Indian Institute of Technology Gandhinagar ,400 Acres,1588,96,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Banks Facilities",Public/Government,432550
Indian Institute of Technology Ropar ,500 Acres,1468,115,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Guest Room",Public/Government,358525.4545
National Institute of Technology Silchar ,625 Acres,3379,209,1967,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,252717.6
