College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
National Institute of Technology Rourkela ,Co-Ed,647 Acres,4811,329,2007,3.12,,"B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering, M.Tech Chemical Engineering, M.Tech Communication and Networks, M.Tech Computer Science","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Rourkela,Odisha,India,Public/Government,350600
Visvesvaraya National Institute of Technology Nagpur ,Co-Ed,215 Acres,1071,192,2007,,,"B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Nagpur,Maharashtra,India,Public/Government,273596.6667
Indian Institution of Information Tecnology Delhi,Co-Ed,145 Acres,3759,101,2018,,,"B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Electrical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations",New Delhi,Delhi,India,Public/Government,352320
Birla Institute of Technology,Co-Ed,980 Acres,4506,284,1955,,,"B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, M.Tech Computer Science","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Ranchi,Jharkhand,India,Private,596686.0465
International Institute of Information Technology,Co-Ed,66 Acres,1721,85,2001,3.05,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, IT Infrastructure, Laboratories, Convenience Store, Banks Facilities",Hyderabad,Telangana,India,Private,756666.6667
BMS College of Engineering,Co-Ed,15 Acres,5610,298,1946,3.83,"Visvesvaraya Technological University, Belagavi",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Bengaluru,Karnataka,India,Private,71558.66667
Institute of Chemical Technology,Co-Ed,16 Acres,1753,116,2008,3.77,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
Banaras Hindu University,Co-Ed,1300 Acres,27946,1637,1916,3.41,,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Varanasi,Uttar Pradesh,India,Public/Government,82548.89764
Thapar Institute of Engineering and Technology,Co-Ed,250 Acres,8150,482,1956,3.29,,M.Tech Chemical Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility",Patiala,Punjab,India,Private,736823.0769
Shanmugha Arts Science Technology Research and Academy,Co-Ed,232 Acres,9838,750,2001,3.54,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Electronics and Communication Engineering, B.Tech Chemical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, M.Tech Chemical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Convenience Store, Banks Facilities",Thanjavur,Tamil Nadu,India,Private,415918.0328
